
time,ax,ay,az,wx,wy,wz,
0.108,0.01,0.29,-0.31,0.08,0.12,0.09,
0.108,0.01,0.29,-0.31,0.08,0.12,0.10,
0.108,0.01,0.29,-0.31,0.07,0.12,0.10,
0.11,0.01,0.29,-0.31,0.07,0.12,0.10,
0.111,0.05,0.37,-0.43,0.07,0.12,0.10,
0.114,0.05,0.37,-0.43,0.06,0.12,0.11,
0.117,0.12,0.41,-0.52,0.06,0.12,0.11,
0.117,0.12,0.41,-0.52,0.04,0.12,0.11,
0.119,0.12,0.41,-0.52,0.03,0.13,0.11,
0.121,0.17,0.48,-0.61,0.03,0.13,0.11,
0.122,0.17,0.48,-0.61,0.01,0.13,0.12,
0.124,0.17,0.48,-0.61,-0.01,0.14,0.12,
0.126,0.17,0.48,-0.61,-0.03,0.15,0.12,
0.128,0.19,0.53,-0.80,-0.03,0.15,0.12,
0.128,0.19,0.53,-0.80,-0.05,0.16,0.12,
0.131,0.18,0.60,-0.92,-0.05,0.16,0.12,
0.132,0.18,0.60,-0.92,-0.08,0.16,0.12,
0.133,0.18,0.60,-0.92,-0.10,0.17,0.12,
0.138,0.25,0.59,-0.94,-0.10,0.17,0.12,
0.139,0.25,0.59,-0.94,-0.13,0.18,0.13,
0.139,0.25,0.59,-0.94,-0.15,0.18,0.13,
0.142,0.26,0.57,-0.92,-0.15,0.18,0.13,
0.142,0.26,0.57,-0.92,-0.18,0.19,0.12,
0.143,0.26,0.57,-0.92,-0.20,0.19,0.12,
0.146,0.23,0.53,-0.78,-0.20,0.19,0.12,
0.147,0.23,0.53,-0.78,-0.23,0.20,0.12,
0.148,0.23,0.53,-0.78,-0.25,0.21,0.12,
0.151,0.23,0.48,-0.57,-0.25,0.21,0.12,
0.151,0.23,0.48,-0.57,-0.27,0.22,0.12,
0.153,0.23,0.48,-0.57,-0.29,0.23,0.12,
0.156,0.21,0.46,-0.48,-0.29,0.23,0.12,
0.178,0.21,0.46,-0.48,-0.31,0.24,0.12,
0.178,0.21,0.46,-0.48,-0.32,0.25,0.12,
0.179,0.18,0.43,-0.41,-0.32,0.25,0.12,
0.179,0.18,0.43,-0.41,-0.34,0.25,0.12,
0.18,0.18,0.43,-0.41,-0.35,0.26,0.12,
0.18,0.18,0.43,-0.41,-0.35,0.26,0.12,
0.181,0.11,0.39,-0.36,-0.35,0.26,0.12,
0.181,0.11,0.39,-0.36,-0.36,0.26,0.12,
0.182,0.12,0.41,-0.31,-0.36,0.26,0.12,
0.182,0.12,0.41,-0.31,-0.36,0.25,0.12,
0.183,0.12,0.41,-0.31,-0.36,0.25,0.12,
0.183,0.10,0.38,-0.09,-0.36,0.25,0.12,
0.184,0.10,0.38,-0.09,-0.36,0.25,0.12,
0.184,0.10,0.38,-0.09,-0.35,0.25,0.12,
0.185,0.08,0.35,0.00,-0.35,0.25,0.12,
0.185,0.08,0.35,0.00,-0.35,0.26,0.13,
0.186,0.08,0.35,0.00,-0.34,0.26,0.12,
0.186,0.08,0.35,0.00,-0.33,0.26,0.12,
0.187,0.12,0.30,0.01,-0.33,0.26,0.12,
0.197,0.12,0.30,0.01,-0.32,0.26,0.12,
0.198,0.12,0.29,0.00,-0.32,0.26,0.12,
0.199,0.12,0.29,0.00,-0.31,0.26,0.12,
0.199,0.12,0.29,0.00,-0.30,0.26,0.12,
0.199,0.12,0.29,0.00,-0.29,0.26,0.12,
0.2,0.15,0.28,-0.05,-0.29,0.26,0.12,
0.201,0.15,0.28,-0.05,-0.28,0.26,0.11,
0.201,0.15,0.23,-0.10,-0.28,0.26,0.11,
0.202,0.15,0.23,-0.10,-0.26,0.26,0.11,
0.205,0.15,0.23,-0.10,-0.25,0.26,0.11,
0.206,0.15,0.23,-0.10,-0.24,0.27,0.11,
0.206,0.13,0.15,-0.03,-0.24,0.27,0.11,
0.21,0.13,0.15,-0.03,-0.23,0.27,0.11,
0.211,0.13,0.15,-0.03,-0.23,0.28,0.11,
0.211,0.11,0.09,-0.04,-0.23,0.28,0.11,
0.212,0.11,0.09,-0.04,-0.22,0.29,0.11,
0.214,0.11,0.09,-0.04,-0.21,0.30,0.11,
0.215,0.04,0.03,-0.05,-0.21,0.30,0.11,
0.217,0.04,0.03,-0.05,-0.20,0.31,0.12,
0.224,0.02,0.00,-0.10,-0.20,0.31,0.12,
0.224,0.02,0.00,-0.10,-0.19,0.31,0.12,
0.225,0.02,0.00,-0.10,-0.19,0.32,0.12,
0.227,0.02,0.00,-0.10,-0.18,0.32,0.12,
0.228,0.00,0.05,-0.16,-0.18,0.32,0.12,
0.229,0.00,0.05,-0.16,-0.17,0.33,0.12,
0.229,0.00,0.05,-0.16,-0.17,0.32,0.13,
0.23,-0.08,0.06,-0.22,-0.17,0.32,0.13,
0.232,-0.08,0.06,-0.22,-0.16,0.32,0.13,
0.235,-0.12,0.09,-0.26,-0.16,0.32,0.13,
0.236,-0.12,0.09,-0.26,-0.15,0.31,0.13,
0.243,-0.12,0.09,-0.26,-0.14,0.30,0.12,
0.244,-0.12,0.09,-0.26,-0.14,0.30,0.13,
0.244,-0.09,0.15,-0.28,-0.14,0.30,0.13,
0.246,-0.09,0.15,-0.28,-0.13,0.29,0.12,
0.247,-0.10,0.23,-0.26,-0.13,0.29,0.12,
0.248,-0.10,0.23,-0.26,-0.12,0.28,0.12,
0.248,-0.10,0.23,-0.26,-0.11,0.27,0.12,
0.251,-0.10,0.23,-0.26,-0.10,0.27,0.12,
0.251,-0.09,0.28,-0.25,-0.10,0.27,0.12,
0.253,-0.09,0.28,-0.25,-0.09,0.26,0.12,
0.257,-0.05,0.37,-0.23,-0.09,0.26,0.12,
0.258,-0.05,0.37,-0.23,-0.08,0.25,0.12,
0.258,-0.05,0.37,-0.23,-0.07,0.24,0.11,
0.259,-0.05,0.37,-0.23,-0.06,0.23,0.11,
0.26,0.03,0.42,-0.25,-0.06,0.23,0.11,
0.262,0.03,0.42,-0.25,-0.06,0.23,0.11,
0.266,0.03,0.42,-0.25,-0.05,0.22,0.11,
0.266,0.08,0.45,-0.33,-0.05,0.22,0.11,
0.269,0.08,0.45,-0.33,-0.05,0.22,0.11,
0.272,0.08,0.45,-0.33,-0.04,0.22,0.10,
0.273,0.04,0.45,-0.45,-0.04,0.22,0.10,
0.273,0.04,0.45,-0.45,-0.04,0.21,0.10,
0.275,0.04,0.45,-0.45,-0.04,0.21,0.10,
0.275,0.08,0.45,-0.55,-0.04,0.21,0.10,
0.278,0.08,0.45,-0.55,-0.04,0.21,0.10,
0.28,0.08,0.38,-0.60,-0.04,0.21,0.10,
0.281,0.08,0.38,-0.60,-0.05,0.21,0.10,
0.282,0.08,0.38,-0.60,-0.06,0.22,0.10,
0.285,0.01,0.34,-0.75,-0.06,0.22,0.10,
0.285,0.01,0.34,-0.75,-0.06,0.22,0.10,
0.289,0.01,0.34,-0.75,-0.07,0.23,0.10,
0.29,0.04,0.36,-0.79,-0.07,0.23,0.10,
0.29,0.04,0.36,-0.79,-0.08,0.23,0.10,
0.292,0.04,0.36,-0.79,-0.09,0.24,0.11,
0.295,0.04,0.36,-0.79,-0.11,0.24,0.10,
0.295,0.06,0.33,-0.78,-0.11,0.24,0.10,
0.297,0.06,0.33,-0.78,-0.12,0.25,0.10,
0.299,0.06,0.33,-0.78,-0.13,0.25,0.10,
0.3,0.07,0.37,-0.78,-0.13,0.25,0.10,
0.302,0.07,0.37,-0.78,-0.14,0.26,0.10,
0.306,0.03,0.39,-0.77,-0.14,0.26,0.10,
0.306,0.03,0.39,-0.77,-0.16,0.26,0.10,
0.307,0.03,0.39,-0.77,-0.17,0.26,0.10,
0.31,0.03,0.39,-0.77,-0.18,0.26,0.10,
0.31,0.04,0.38,-0.84,-0.18,0.26,0.10,
0.312,0.04,0.38,-0.84,-0.19,0.25,0.10,
0.314,0.04,0.38,-0.84,-0.20,0.25,0.10,
0.315,0.01,0.35,-0.87,-0.20,0.25,0.10,
0.318,0.01,0.35,-0.87,-0.22,0.24,0.10,
0.319,0.01,0.35,-0.87,-0.22,0.23,0.10,
0.319,-0.04,0.31,-0.84,-0.22,0.23,0.10,
0.338,-0.04,0.31,-0.84,-0.24,0.22,0.10,
0.339,-0.13,0.29,-0.84,-0.24,0.22,0.10,
0.34,-0.13,0.29,-0.84,-0.25,0.22,0.10,
0.344,-0.13,0.29,-0.84,-0.25,0.21,0.09,
0.345,-0.13,0.29,-0.84,-0.26,0.20,0.10,
0.345,-0.15,0.28,-0.78,-0.26,0.20,0.10,
0.346,-0.15,0.28,-0.78,-0.27,0.19,0.10,
0.346,-0.15,0.28,-0.78,-0.27,0.19,0.10,
0.347,-0.19,0.23,-0.74,-0.27,0.19,0.10,
0.347,-0.19,0.23,-0.74,-0.27,0.17,0.09,
0.347,-0.21,0.19,-0.70,-0.27,0.17,0.09,
0.348,-0.21,0.19,-0.70,-0.28,0.16,0.10,
0.348,-0.21,0.19,-0.70,-0.28,0.15,0.10,
0.348,-0.23,0.19,-0.64,-0.28,0.15,0.10,
0.349,-0.23,0.19,-0.64,-0.28,0.14,0.10,
0.351,-0.23,0.19,-0.64,-0.28,0.13,0.10,
0.351,-0.25,0.18,-0.54,-0.28,0.13,0.10,
0.351,-0.25,0.18,-0.54,-0.28,0.12,0.10,
0.352,-0.25,0.18,-0.54,-0.28,0.11,0.10,
0.355,-0.25,0.18,-0.54,-0.27,0.10,0.10,
0.356,-0.23,0.18,-0.44,-0.27,0.10,0.10,
0.357,-0.23,0.18,-0.44,-0.26,0.09,0.10,
0.36,-0.23,0.17,-0.34,-0.26,0.09,0.10,
0.361,-0.23,0.17,-0.34,-0.26,0.08,0.10,
0.362,-0.23,0.17,-0.34,-0.25,0.07,0.10,
0.365,-0.23,0.17,-0.34,-0.24,0.06,0.10,
0.366,-0.21,0.19,-0.30,-0.24,0.06,0.10,
0.367,-0.21,0.19,-0.30,-0.23,0.05,0.10,
0.371,-0.18,0.20,-0.26,-0.23,0.05,0.10,
0.372,-0.18,0.20,-0.26,-0.22,0.04,0.09,
0.372,-0.18,0.20,-0.26,-0.22,0.03,0.09,
0.374,-0.18,0.20,-0.26,-0.21,0.03,0.09,
0.374,-0.15,0.19,-0.17,-0.21,0.03,0.09,
0.376,-0.15,0.19,-0.17,-0.20,0.02,0.08,
0.379,-0.12,0.17,-0.11,-0.20,0.02,0.08,
0.38,-0.12,0.17,-0.11,-0.19,0.01,0.09,
0.381,-0.12,0.17,-0.11,-0.19,0.01,0.08,
0.384,-0.12,0.17,-0.11,-0.18,0.01,0.08,
0.385,-0.02,0.17,-0.05,-0.18,0.01,0.08,
0.387,-0.02,0.17,-0.05,-0.17,0.01,0.07,
0.391,0.06,0.22,0.01,-0.17,0.01,0.07,
0.391,0.06,0.22,0.01,-0.17,0.01,0.07,
0.392,0.06,0.22,0.01,-0.17,0.00,0.06,
0.394,0.15,0.26,-0.06,-0.17,0.00,0.06,
0.395,0.15,0.26,-0.06,-0.16,0.00,0.06,
0.396,0.15,0.26,-0.06,-0.16,-0.00,0.05,
0.399,0.18,0.29,-0.12,-0.16,-0.00,0.05,
0.4,0.18,0.29,-0.12,-0.15,-0.00,0.04,
0.402,0.18,0.29,-0.12,-0.15,-0.01,0.03,
0.406,0.18,0.29,-0.12,-0.15,-0.01,0.02,
0.406,0.25,0.31,-0.05,-0.15,-0.01,0.02,
0.407,0.25,0.31,-0.05,-0.15,-0.00,0.01,
0.409,0.25,0.31,-0.05,-0.15,0.00,0.00,
0.409,0.32,0.33,0.04,-0.15,0.00,0.00,
0.414,0.32,0.33,0.04,-0.15,0.01,-0.01,
0.414,0.33,0.37,0.16,-0.15,0.01,-0.01,
0.414,0.33,0.37,0.16,-0.15,0.01,-0.02,
0.418,0.33,0.37,0.16,-0.14,0.02,-0.03,
0.419,0.33,0.37,0.16,-0.15,0.03,-0.04,
0.42,0.36,0.40,0.23,-0.15,0.03,-0.04,
0.423,0.36,0.40,0.23,-0.15,0.04,-0.05,
0.424,0.36,0.40,0.23,-0.14,0.04,-0.06,
0.425,0.41,0.38,0.24,-0.14,0.04,-0.06,
0.427,0.41,0.38,0.24,-0.14,0.05,-0.07,
0.429,0.37,0.38,0.26,-0.14,0.05,-0.07,
0.43,0.37,0.38,0.26,-0.14,0.06,-0.08,
0.431,0.37,0.38,0.26,-0.14,0.06,-0.09,
0.435,0.32,0.34,0.40,-0.14,0.06,-0.09,
0.435,0.32,0.34,0.40,-0.14,0.07,-0.10,
0.438,0.32,0.34,0.40,-0.14,0.08,-0.11,
0.439,0.32,0.27,0.40,-0.14,0.08,-0.11,
0.44,0.32,0.27,0.40,-0.13,0.08,-0.12,
0.442,0.32,0.27,0.40,-0.14,0.09,-0.13,
0.447,0.22,0.17,0.41,-0.14,0.09,-0.13,
0.447,0.22,0.17,0.41,-0.14,0.09,-0.14,
0.448,0.22,0.17,0.41,-0.13,0.09,-0.14,
0.449,0.22,0.17,0.41,-0.14,0.09,-0.15,
0.449,0.13,0.08,0.31,-0.14,0.09,-0.15,
0.451,0.13,0.08,0.31,-0.14,0.09,-0.16,
0.454,0.07,-0.03,0.15,-0.14,0.09,-0.16,
0.455,0.07,-0.03,0.15,-0.14,0.09,-0.16,
0.457,0.07,-0.03,0.15,-0.14,0.07,-0.16,
0.46,0.07,-0.03,0.15,-0.15,0.06,-0.17,
0.461,-0.03,-0.05,-0.11,-0.15,0.06,-0.17,
0.461,-0.03,-0.05,-0.11,-0.15,0.04,-0.17,
0.464,-0.03,-0.05,-0.11,-0.16,0.02,-0.17,
0.464,-0.12,-0.06,-0.32,-0.16,0.02,-0.17,
0.466,-0.12,-0.06,-0.32,-0.17,-0.01,-0.18,
0.469,-0.12,-0.06,-0.32,-0.17,-0.03,-0.18,
0.469,-0.19,-0.07,-0.36,-0.17,-0.03,-0.18,
0.471,-0.19,-0.07,-0.36,-0.18,-0.06,-0.18,
0.475,-0.23,-0.09,-0.18,-0.18,-0.06,-0.18,
0.475,-0.23,-0.09,-0.18,-0.19,-0.08,-0.19,
0.476,-0.23,-0.09,-0.18,-0.19,-0.09,-0.20,
0.479,-0.21,-0.19,0.29,-0.19,-0.09,-0.20,
0.479,-0.21,-0.19,0.29,-0.19,-0.10,-0.20,
0.481,-0.21,-0.19,0.29,-0.19,-0.11,-0.21,
0.484,-0.21,-0.19,0.29,-0.20,-0.10,-0.21,
0.484,-0.15,-0.29,0.69,-0.20,-0.10,-0.21,
0.491,-0.15,-0.29,0.69,-0.20,-0.10,-0.21,
0.514,-0.11,-0.39,1.00,-0.20,-0.10,-0.21,
0.514,-0.11,-0.39,1.00,-0.20,-0.08,-0.21,
0.515,-0.11,-0.39,1.00,-0.20,-0.07,-0.21,
0.515,-0.07,-0.50,1.09,-0.20,-0.07,-0.21,
0.516,-0.07,-0.50,1.09,-0.20,-0.06,-0.21,
0.516,-0.07,-0.50,1.09,-0.21,-0.04,-0.21,
0.516,-0.11,-0.58,0.97,-0.21,-0.04,-0.21,
0.517,-0.11,-0.58,0.97,-0.21,-0.03,-0.21,
0.517,-0.11,-0.58,0.97,-0.21,-0.02,-0.21,
0.518,-0.11,-0.58,0.97,-0.21,-0.02,-0.21,
0.518,-0.19,-0.56,0.62,-0.21,-0.02,-0.21,
0.519,-0.19,-0.56,0.62,-0.22,-0.03,-0.21,
0.519,-0.19,-0.56,0.62,-0.22,-0.05,-0.21,
0.52,-0.24,-0.54,0.16,-0.22,-0.05,-0.21,
0.52,-0.24,-0.54,0.16,-0.22,-0.06,-0.20,
0.521,-0.31,-0.50,-0.17,-0.22,-0.06,-0.20,
0.521,-0.31,-0.50,-0.17,-0.22,-0.08,-0.21,
0.522,-0.31,-0.50,-0.17,-0.22,-0.11,-0.21,
0.522,-0.31,-0.50,-0.17,-0.22,-0.13,-0.21,
0.523,-0.37,-0.45,-0.22,-0.22,-0.13,-0.21,
0.523,-0.37,-0.45,-0.22,-0.22,-0.16,-0.21,
0.529,-0.37,-0.45,-0.22,-0.21,-0.18,-0.21,
0.532,-0.32,-0.39,0.03,-0.21,-0.18,-0.21,
0.532,-0.32,-0.39,0.03,-0.20,-0.20,-0.21,
0.532,-0.22,-0.34,0.59,-0.20,-0.20,-0.21,
0.533,-0.22,-0.34,0.59,-0.19,-0.21,-0.21,
0.533,-0.22,-0.34,0.59,-0.17,-0.21,-0.22,
0.534,-0.04,-0.36,1.18,-0.17,-0.21,-0.22,
0.534,-0.04,-0.36,1.18,-0.15,-0.21,-0.22,
0.541,-0.04,-0.36,1.18,-0.13,-0.21,-0.23,
0.542,0.23,-0.31,1.85,-0.13,-0.21,-0.23,
0.542,0.23,-0.31,1.85,-0.09,-0.20,-0.23,
0.543,0.23,-0.31,1.85,-0.05,-0.19,-0.24,
0.543,0.23,-0.31,1.85,-0.02,-0.17,-0.25,
0.543,0.49,-0.25,2.36,-0.02,-0.17,-0.25,
0.546,0.49,-0.25,2.36,0.02,-0.15,-0.25,
0.549,0.79,-0.21,2.82,0.02,-0.15,-0.25,
0.55,0.79,-0.21,2.82,0.07,-0.13,-0.26,
0.552,0.79,-0.21,2.82,0.12,-0.11,-0.28,
0.557,0.79,-0.21,2.82,0.17,-0.08,-0.29,
0.557,1.06,-0.08,3.05,0.17,-0.08,-0.29,
0.558,1.06,-0.08,3.05,0.22,-0.06,-0.30,
0.559,1.27,0.03,2.99,0.22,-0.06,-0.30,
0.563,1.27,0.03,2.99,0.27,-0.04,-0.31,
0.563,1.27,0.03,2.99,0.31,-0.03,-0.32,
0.564,1.27,0.03,2.99,0.36,-0.02,-0.32,
0.564,1.32,0.16,2.58,0.36,-0.02,-0.32,
0.565,1.32,0.16,2.58,0.40,-0.01,-0.33,
0.568,1.32,0.16,2.58,0.44,-0.00,-0.34,
0.569,1.26,0.38,2.14,0.44,-0.00,-0.34,
0.572,1.26,0.38,2.14,0.48,0.00,-0.34,
0.573,1.12,0.53,1.79,0.48,0.00,-0.34,
0.574,1.12,0.53,1.79,0.50,0.01,-0.34,
0.576,1.12,0.53,1.79,0.53,0.02,-0.34,
0.578,1.12,0.53,1.79,0.55,0.02,-0.34,
0.578,1.02,0.65,1.42,0.55,0.02,-0.34,
0.581,1.02,0.65,1.42,0.56,0.03,-0.34,
0.583,1.02,0.65,1.42,0.57,0.04,-0.34,
0.584,0.88,0.79,1.14,0.57,0.04,-0.34,
0.586,0.88,0.79,1.14,0.56,0.06,-0.34,
0.589,0.80,0.89,0.88,0.56,0.06,-0.34,
0.591,0.80,0.89,0.88,0.55,0.07,-0.34,
0.592,0.80,0.89,0.88,0.54,0.09,-0.34,
0.593,0.80,0.89,0.88,0.52,0.11,-0.34,
0.594,0.73,1.02,0.69,0.52,0.11,-0.34,
0.597,0.73,1.02,0.69,0.50,0.12,-0.34,
0.599,0.65,1.17,0.40,0.50,0.12,-0.34,
0.599,0.65,1.17,0.40,0.46,0.14,-0.35,
0.602,0.65,1.17,0.40,0.42,0.16,-0.35,
0.604,0.58,1.28,0.11,0.42,0.16,-0.35,
0.605,0.58,1.28,0.11,0.37,0.17,-0.35,
0.608,0.58,1.28,0.11,0.32,0.19,-0.35,
0.609,0.55,1.39,-0.22,0.32,0.19,-0.35,
0.609,0.55,1.39,-0.22,0.26,0.20,-0.36,
0.611,0.55,1.39,-0.22,0.20,0.21,-0.36,
0.613,0.51,1.45,-0.50,0.20,0.21,-0.36,
0.613,0.51,1.45,-0.50,0.13,0.22,-0.37,
0.615,0.51,1.45,-0.50,0.05,0.23,-0.37,
0.618,0.47,1.47,-0.78,0.05,0.23,-0.37,
0.618,0.47,1.47,-0.78,-0.03,0.24,-0.38,
0.621,0.47,1.47,-0.78,-0.11,0.24,-0.38,
0.623,0.43,1.42,-1.00,-0.11,0.24,-0.38,
0.623,0.43,1.42,-1.00,-0.19,0.24,-0.38,
0.625,0.43,1.42,-1.00,-0.28,0.24,-0.39,
0.628,0.37,1.37,-1.10,-0.28,0.24,-0.39,
0.628,0.37,1.37,-1.10,-0.37,0.23,-0.38,
0.631,0.37,1.37,-1.10,-0.46,0.24,-0.38,
0.633,0.30,1.28,-1.09,-0.46,0.24,-0.38,
0.634,0.30,1.28,-1.09,-0.55,0.24,-0.39,
0.635,0.30,1.28,-1.09,-0.63,0.24,-0.38,
0.647,0.27,1.16,-0.93,-0.63,0.24,-0.38,
0.648,0.27,1.16,-0.93,-0.71,0.25,-0.38,
0.648,0.27,1.16,-0.93,-0.80,0.26,-0.38,
0.648,0.23,1.04,-0.67,-0.80,0.26,-0.38,
0.648,0.23,1.04,-0.67,-0.88,0.26,-0.38,
0.648,0.23,1.04,-0.67,-0.94,0.28,-0.38,
0.649,0.24,0.89,-0.44,-0.94,0.28,-0.38,
0.649,0.24,0.89,-0.44,-1.01,0.29,-0.38,
0.652,0.24,0.89,-0.44,-1.07,0.30,-0.37,
0.657,0.20,0.81,-0.15,-1.07,0.30,-0.37,
0.676,0.20,0.81,-0.15,-1.12,0.31,-0.37,
0.676,0.20,0.81,-0.15,-1.16,0.32,-0.37,
0.676,0.08,0.73,0.15,-1.16,0.32,-0.37,
0.677,0.08,0.73,0.15,-1.20,0.33,-0.37,
0.677,0.08,0.73,0.15,-1.23,0.34,-0.37,
0.677,-0.02,0.69,0.40,-1.23,0.34,-0.37,
0.677,-0.02,0.69,0.40,-1.26,0.35,-0.37,
0.678,-0.02,0.69,0.40,-1.27,0.36,-0.37,
0.678,-0.12,0.63,0.74,-1.27,0.36,-0.37,
0.678,-0.12,0.63,0.74,-1.28,0.36,-0.37,
0.678,-0.12,0.63,0.74,-1.28,0.37,-0.37,
0.679,-0.18,0.57,1.01,-1.28,0.37,-0.37,
0.679,-0.18,0.57,1.01,-1.27,0.37,-0.37,
0.679,-0.18,0.57,1.01,-1.26,0.37,-0.37,
0.679,-0.26,0.54,1.32,-1.26,0.37,-0.37,
0.68,-0.26,0.54,1.32,-1.24,0.38,-0.37,
0.682,-0.26,0.54,1.32,-1.21,0.38,-0.38,
0.683,-0.37,0.46,1.54,-1.21,0.38,-0.38,
0.684,-0.37,0.46,1.54,-1.18,0.37,-0.38,
0.685,-0.37,0.46,1.54,-1.14,0.37,-0.38,
0.688,-0.48,0.38,1.64,-1.14,0.37,-0.38,
0.691,-0.48,0.38,1.64,-1.10,0.36,-0.37,
0.692,-0.48,0.38,1.64,-1.06,0.34,-0.37,
0.693,-0.56,0.28,1.63,-1.06,0.34,-0.37,
0.693,-0.56,0.28,1.63,-1.01,0.33,-0.37,
0.695,-0.56,0.28,1.63,-0.97,0.30,-0.37,
0.698,-0.63,0.25,1.52,-0.97,0.30,-0.37,
0.698,-0.63,0.25,1.52,-0.92,0.28,-0.36,
0.7,-0.63,0.25,1.52,-0.86,0.25,-0.36,
0.704,-0.63,0.25,1.52,-0.81,0.23,-0.35,
0.704,-0.72,0.22,1.46,-0.81,0.23,-0.35,
0.705,-0.72,0.22,1.46,-0.75,0.20,-0.35,
0.708,-0.72,0.22,1.46,-0.70,0.17,-0.34,
0.709,-0.75,0.17,1.41,-0.70,0.17,-0.34,
0.709,-0.75,0.17,1.41,-0.65,0.15,-0.33,
0.713,-0.80,0.17,1.35,-0.65,0.15,-0.33,
0.714,-0.80,0.17,1.35,-0.60,0.13,-0.32,
0.716,-0.80,0.17,1.35,-0.55,0.11,-0.31,
0.717,-0.79,0.17,1.25,-0.55,0.11,-0.31,
0.717,-0.79,0.17,1.25,-0.51,0.10,-0.30,
0.722,-0.79,0.17,1.25,-0.47,0.10,-0.28,
